id,sentence,subject,relation,object,evidence,target_output,split
1,مبارك حمود سعدون الطشه نائب في مجلس الأمة الكويتي.,مبارك حمود سعدون الطشه,position_held,نائب في مجلس الأمة الكويتي,نائب في مجلس الأمة الكويتي,<bor> مبارك حمود سعدون الطشه <per> نائب في مجلس الأمة الكويتي <concept> position held <rt> نائب في مجلس الأمة الكويتي <e>,validation
2,معصومة صالح محمد المبارك سياسية.,معصومة صالح محمد المبارك,position_held,سياسية,سياسية,<bor> معصومة صالح محمد المبارك <per> سياسية <concept> position held <rt> سياسية <e>,train
3,منصور الشيخ موسى المزيدي عضو المجلس التاسيسي الكويتي.,منصور الشيخ موسا المزيدي,position_held,عضو المجلس التاسيسي الكويتي,عضو المجلس التاسيسي الكويتي,<bor> منصور الشيخ موسا المزيدي <per> عضو المجلس التاسيسي الكويتي <concept> position held <rt> عضو المجلس التاسيسي الكويتي <e>,train
4,اللواء منصور العوضي هو وكيل وزارة الداخلية المساعد لشؤون أمن المنافذ.,اللواء منصور العوضي,position_held,وكيل وزاره الداخليه المساعد لشوون امن المنافذ,هو وكيل وزارة الداخلية المساعد لشؤون أمن المنافذ,<bor> اللواء منصور العوضي <per> وكيل وزاره الداخليه المساعد لشوون امن المنافذ <concept> position held <rt> هو وكيل وزارة الداخلية المساعد لشؤون أمن المنافذ <e>,validation
5,مبارك محمد كنيفذ مرزوق الوعلان المطيري سياسي.,مبارك محمد كنيفذ مرزوق الوعلان المطيري,position_held,سياسي,سياسي,<bor> مبارك محمد كنيفذ مرزوق الوعلان المطيري <per> سياسي <concept> position held <rt> سياسي <e>,train
6,سعود محمد راشد بطي الشويعر هو أحد النواب الجدد الذين دخلوا المجلس.,سعود محمد راشد بطي الشويعر,position_held,نائب,هو أحد النواب,<bor> سعود محمد راشد بطي الشويعر <per> نائب <concept> position held <rt> هو أحد النواب <e>,train
7,النايب عبدالله حشر عايد البرغش.,عبدالله حشر عايد البرغش,position_held,النايب,النايب عبدالله حشر عايد البرغش,<bor> عبدالله حشر عايد البرغش <per> النايب <concept> position held <rt> النايب عبدالله حشر عايد البرغش <e>,train
8,المستشار جمال هاضل سالم الجلاوي هو وزير العدل ووزير الدولة لشؤون النزاهة.,جمال هاضل سالم الجلاوي,position_held,وزير العدل ووزير الدولة لشؤون النزاهة,هو وزير العدل ووزير الدولة لشؤون النزاهة,<bor> جمال هاضل سالم الجلاوي <per> وزير العدل ووزير الدولة لشؤون النزاهة <concept> position held <rt> هو وزير العدل ووزير الدولة لشؤون النزاهة <e>,train
9,عبدالعزيز ماجد الماجد وزير العدل ووزير الأوقاف والشؤون الإسلامية.,عبدالعزيز ماجد الماجد,position_held,وزير العدل,وزير العدل,<bor> عبدالعزيز ماجد الماجد <per> وزير العدل <concept> position held <rt> وزير العدل <e>,validation
10,حمود عبدالله الرقبه هو وزير اسبق.,حمود عبدالله الرقبه,position_held,وزير اسبق,هو وزير اسبق,<bor> حمود عبدالله الرقبه <per> وزير اسبق <concept> position held <rt> هو وزير اسبق <e>,validation
11,محمد ضيف الله القحص العنزي سياسي.,محمد ضيف الله القحص العنزي,position_held,سياسي,سياسي,<bor> محمد ضيف الله القحص العنزي <per> سياسي <concept> position held <rt> سياسي <e>,train
12,يوسف الوزان سياسي.,يوسف الوزان,position_held,سياسي,سياسي,<bor> يوسف الوزان <per> سياسي <concept> position held <rt> سياسي <e>,train
13,نايف محمد الحجرف هو مساعد مدير امن محافظه الفروانيه.,نايف محمد الحجرف,position_held,مساعد مدير امن محافظه الفروانيه,هو مساعد مدير امن محافظه الفروانيه,<bor> نايف محمد الحجرف <per> مساعد مدير امن محافظه الفروانيه <concept> position held <rt> هو مساعد مدير امن محافظه الفروانيه <e>,train
14,حسين براك الدوسري سياسي.,حسين براك الدوسري,position_held,سياسي,سياسي,<bor> حسين براك الدوسري <per> سياسي <concept> position held <rt> سياسي <e>,train
15,خليل ابراهيم عبدالله المزين نايب.,خليل ابراهيم عبدالله المزين,position_held,نايب,نايب,<bor> خليل ابراهيم عبدالله المزين <per> نايب <concept> position held <rt> نايب <e>,validation
16,عيد هذال الرشيدي وزير الاشغال العامه.,عيد هذال الرشيدي,position_held,وزير الاشغال العامه,وزير الاشغال العامه,<bor> عيد هذال الرشيدي <per> وزير الاشغال العامه <concept> position held <rt> وزير الاشغال العامه <e>,train
17,عايض علوش الخميشي العازمي هو عضو مجلس الأمة الراحل.,عايض علوش الخميشي العازمي,position_held,عضو مجلس الامه الراحل,هو عضو مجلس الأمة الراحل,<bor> عايض علوش الخميشي العازمي <per> عضو مجلس الامه الراحل <concept> position held <rt> هو عضو مجلس الأمة الراحل <e>,train
18,فراج زبن عربيد جلوي العربيد نايب.,فراج زبن عربيد جلوي العربيد,position_held,نايب,نايب,<bor> فراج زبن عربيد جلوي العربيد <per> نايب <concept> position held <rt> نايب <e>,train
19,عبدالوهاب سليمان الفوزان وزير الصحه الكويتي السابق.,عبد الوهاب سليمان الفوزان,position_held,وزير الصحه الكويتي السابق,وزير الصحه الكويتي السابق,<bor> عبد الوهاب سليمان الفوزان <per> وزير الصحه الكويتي السابق <concept> position held <rt> وزير الصحه الكويتي السابق <e>,train
20,بدر غريد سعوي راشد البذالي شارك في الانتخابات البرلمانيه.,بدر غريد سعوي راشد البذالي,position_held,مشارك في الانتخابات البرلمانية,شارك في الانتخابات البرلمانيه,<bor> بدر غريد سعوي راشد البذالي <per> مشارك في الانتخابات البرلمانية <concept> position held <rt> شارك في الانتخابات البرلمانيه <e>,validation
21,فلاح ضاحي فلاح ضاحي دلواح الهاجري نائب في مجلس الأمة الكويتي.,فلاح ضاحي فلاح ضاحي دلواح الهاجري,position_held,نائب في مجلس الأمة الكويتي,نائب في مجلس الأمة الكويتي,<bor> فلاح ضاحي فلاح ضاحي دلواح الهاجري <per> نائب في مجلس الأمة الكويتي <concept> position held <rt> نائب في مجلس الأمة الكويتي <e>,train
22,سعد الخراز هو وزير الشؤون الجديد.,سعد الخراز,position_held,وزير الشؤون الجديد,هو وزير الشؤون الجديد,<bor> سعد الخراز <per> وزير الشؤون الجديد <concept> position held <rt> هو وزير الشؤون الجديد <e>,test
23,مبارك فالح رجعان راعي الفحماء سياسي.,مبارك فالح رجعان راعي الفحماء,position_held,سياسي,سياسي,<bor> مبارك فالح رجعان راعي الفحماء <per> سياسي <concept> position held <rt> سياسي <e>,train
